"PUBLICATION DATE","REFERENCE YEAR","INDUSTRY","UNIT","FORECAST VALUE","REVISION REASON"
"20250116","2023","Financial Activities","Thousands of Jobs","501.9",
"20250116","2023","Securities","Thousands of Jobs","198.542",
"20250116","2023","Professional & Business Services","Thousands of Jobs","798.858",
"20250116","2023","Information","Thousands of Jobs","223.183",
"20250116","2023","Education","Thousands of Jobs","256.025",
"20250116","2023","Health & Social Services","Thousands of Jobs","919.5",
"20250116","2023","Leisure & Hospitality","Thousands of Jobs","434.175",
"20250116","2023","Wholesale & Retail Trade","Thousands of Jobs","437.308",
"20250116","2023","Transportation & Utilities","Thousands of Jobs","149.25",
"20250116","2023","Construction","Thousands of Jobs","143",
"20250116","2023","Manufacturing","Thousands of Jobs","57.742",
